Pitch,Octave,Nearest Note,Offset,Jazz-Close,Jazz-Close and CC,Up Quarter Tone,Up Quarter Tone and CC
0,-1,E,-45,FALSE,FALSE,FALSE,FALSE
1,-1,E,-43,FALSE,FALSE,FALSE,FALSE
2,-1,E,-33,FALSE,FALSE,FALSE,FALSE
3,-1,E,9,TRUE,FALSE,TRUE,FALSE
4,-1,E,42,FALSE,FALSE,TRUE,TRUE
5,-1,F,-8,TRUE,FALSE,FALSE,FALSE
6,-1,F#,-50,FALSE,FALSE,FALSE,FALSE
7,-1,F#,19,FALSE,FALSE,FALSE,FALSE
8,-1,G,-6,TRUE,TRUE,FALSE,FALSE
9,-1,G#,-25,FALSE,FALSE,FALSE,FALSE
10,-1,A,-39,FALSE,FALSE,FALSE,FALSE
11,-1,A#,-49,FALSE,FALSE,FALSE,FALSE
12,-1,A#,47,FALSE,FALSE,TRUE,TRUE
13,-1,B,42,FALSE,FALSE,TRUE,FALSE
14,0,C,42,FALSE,FALSE,TRUE,TRUE
15,0,C#,42,FALSE,FALSE,TRUE,FALSE
16,0,D,42,FALSE,FALSE,TRUE,TRUE
17,0,D#,45,FALSE,FALSE,TRUE,FALSE
18,0,E,47,FALSE,FALSE,TRUE,TRUE
19,0,F,48,FALSE,FALSE,TRUE,FALSE
20,0,F#,48,FALSE,FALSE,TRUE,TRUE
21,0,G,48,FALSE,FALSE,TRUE,FALSE
22,0,G#,47,FALSE,FALSE,TRUE,TRUE
23,0,A,45,FALSE,FALSE,TRUE,FALSE
24,0,A#,41,FALSE,FALSE,TRUE,TRUE
25,0,B,36,FALSE,FALSE,FALSE,FALSE
26,1,C,31,FALSE,FALSE,FALSE,FALSE
27,1,C#,23,FALSE,FALSE,FALSE,FALSE
28,1,D,14,FALSE,FALSE,FALSE,FALSE
29,1,D#,4,TRUE,FALSE,TRUE,FALSE
30,1,E,-8,TRUE,TRUE,FALSE,FALSE
31,1,F,-22,FALSE,FALSE,FALSE,FALSE
32,1,F#,-37,FALSE,FALSE,FALSE,FALSE
33,1,F#,47,FALSE,FALSE,TRUE,FALSE
34,1,G,29,FALSE,FALSE,FALSE,FALSE
35,1,G#,10,TRUE,FALSE,TRUE,FALSE
36,1,A,-11,TRUE,TRUE,FALSE,FALSE
37,1,A#,-33,FALSE,FALSE,FALSE,FALSE
38,1,A#,43,FALSE,FALSE,TRUE,TRUE
39,1,B,19,FALSE,FALSE,FALSE,FALSE
40,2,C,-8,TRUE,TRUE,FALSE,FALSE
41,2,C#,-35,FALSE,FALSE,FALSE,FALSE
42,2,C#,36,FALSE,FALSE,FALSE,FALSE
43,2,D,7,TRUE,FALSE,TRUE,FALSE
44,2,D#,-24,FALSE,FALSE,FALSE,FALSE
45,2,D#,44,FALSE,FALSE,TRUE,FALSE
46,2,E,10,TRUE,TRUE,TRUE,TRUE
47,2,F,-24,FALSE,FALSE,FALSE,FALSE
48,2,F,41,FALSE,FALSE,TRUE,TRUE
49,2,F#,4,TRUE,FALSE,TRUE,FALSE
50,2,G,-33,FALSE,FALSE,FALSE,FALSE
51,2,G,28,FALSE,FALSE,FALSE,FALSE
52,2,G#,-11,TRUE,TRUE,FALSE,FALSE
53,2,G#,48,FALSE,FALSE,TRUE,FALSE
54,2,A,7,TRUE,TRUE,TRUE,TRUE
55,2,A#,-35,FALSE,FALSE,FALSE,FALSE
56,2,A#,22,FALSE,FALSE,FALSE,FALSE
57,2,B,-22,FALSE,FALSE,FALSE,FALSE
58,2,B,34,FALSE,FALSE,FALSE,FALSE
59,3,C,-12,FALSE,FALSE,FALSE,FALSE
60,3,C,42,FALSE,FALSE,TRUE,TRUE
61,3,C#,-5,TRUE,FALSE,FALSE,FALSE
62,3,C#,47,FALSE,FALSE,TRUE,TRUE
63,3,D,-1,TRUE,FALSE,FALSE,FALSE
64,3,D,50,FALSE,FALSE,TRUE,TRUE
65,3,D#,0,TRUE,FALSE,FALSE,FALSE
66,3,D#,49,FALSE,FALSE,TRUE,TRUE
67,3,E,-2,TRUE,FALSE,FALSE,FALSE
68,3,E,47,FALSE,FALSE,TRUE,TRUE
69,3,F,-6,TRUE,FALSE,FALSE,FALSE
70,3,F,41,FALSE,FALSE,TRUE,TRUE
71,3,F#,-12,FALSE,FALSE,FALSE,FALSE
72,3,F#,33,FALSE,FALSE,FALSE,FALSE
73,3,G,-21,FALSE,FALSE,FALSE,FALSE
74,3,G,23,FALSE,FALSE,FALSE,FALSE
75,3,G#,-33,FALSE,FALSE,FALSE,FALSE
76,3,G#,11,TRUE,TRUE,FALSE,FALSE
77,3,A,-46,FALSE,FALSE,FALSE,FALSE
78,3,A,-3,TRUE,TRUE,FALSE,FALSE
79,3,A,39,FALSE,FALSE,TRUE,FALSE
80,3,A#,-19,FALSE,FALSE,FALSE,FALSE
81,3,A#,22,FALSE,FALSE,FALSE,FALSE
82,3,B,-37,FALSE,FALSE,FALSE,FALSE
83,3,B,3,TRUE,FALSE,TRUE,FALSE
84,3,B,43,FALSE,FALSE,TRUE,TRUE
85,4,C,-18,FALSE,FALSE,FALSE,FALSE
86,4,C,21,FALSE,FALSE,FALSE,FALSE
87,4,C#,-41,FALSE,FALSE,FALSE,FALSE
88,4,C#,-2,TRUE,TRUE,FALSE,FALSE
89,4,C#,35,FALSE,FALSE,FALSE,FALSE
90,4,D,-27,FALSE,FALSE,FALSE,FALSE
91,4,D,10,TRUE,FALSE,TRUE,FALSE
92,4,D,46,FALSE,FALSE,TRUE,TRUE
93,4,D#,-18,FALSE,FALSE,FALSE,FALSE
94,4,D#,18,FALSE,FALSE,FALSE,FALSE
95,4,E,-46,FALSE,FALSE,FALSE,FALSE
96,4,E,-11,TRUE,TRUE,FALSE,FALSE
97,4,E,24,FALSE,FALSE,FALSE,FALSE
98,4,F,-42,FALSE,FALSE,FALSE,FALSE
99,4,F,-8,TRUE,FALSE,FALSE,FALSE
100,4,F,26,FALSE,FALSE,FALSE,FALSE
101,4,F#,-41,FALSE,FALSE,FALSE,FALSE
102,4,F#,-7,TRUE,TRUE,FALSE,FALSE
103,4,F#,26,FALSE,FALSE,FALSE,FALSE
104,4,G,-42,FALSE,FALSE,FALSE,FALSE
105,4,G,-10,TRUE,FALSE,FALSE,FALSE
106,4,G,22,FALSE,FALSE,FALSE,FALSE
107,4,G#,-46,FALSE,FALSE,FALSE,FALSE
108,4,G#,-15,FALSE,FALSE,FALSE,FALSE
109,4,G#,17,FALSE,FALSE,FALSE,FALSE
110,4,G#,48,FALSE,FALSE,TRUE,TRUE
111,4,A,-21,FALSE,FALSE,FALSE,FALSE
112,4,A,8,TRUE,TRUE,TRUE,TRUE
113,4,A,39,FALSE,FALSE,TRUE,FALSE
114,4,A#,-32,FALSE,FALSE,FALSE,FALSE
115,4,A#,-2,TRUE,FALSE,FALSE,FALSE
116,4,A#,27,FALSE,FALSE,FALSE,FALSE
117,4,B,-44,FALSE,FALSE,FALSE,FALSE
118,4,B,-15,FALSE,FALSE,FALSE,FALSE
119,4,B,14,FALSE,FALSE,FALSE,FALSE
120,4,B,42,FALSE,FALSE,TRUE,TRUE
121,5,C,-20,FALSE,FALSE,FALSE,FALSE
122,5,C,-2,TRUE,TRUE,FALSE,FALSE
123,5,C,26,FALSE,FALSE,FALSE,FALSE
124,5,C#,-46,FALSE,FALSE,FALSE,FALSE
125,5,C#,-19,FALSE,FALSE,FALSE,FALSE
126,5,C#,8,TRUE,TRUE,TRUE,TRUE
127,5,C#,35,FALSE,FALSE,FALSE,FALSE
128,5,D,-38,FALSE,FALSE,FALSE,FALSE
129,5,D,-12,FALSE,FALSE,FALSE,FALSE
130,5,D,14,FALSE,FALSE,FALSE,FALSE
131,5,D,40,FALSE,FALSE,TRUE,FALSE
132,5,D#,-34,FALSE,FALSE,FALSE,FALSE
133,5,D#,-8,TRUE,FALSE,FALSE,FALSE
134,5,D#,18,FALSE,FALSE,FALSE,FALSE
135,5,D#,43,FALSE,FALSE,TRUE,FALSE
136,5,E,-32,FALSE,FALSE,FALSE,FALSE
137,5,E,-7,TRUE,FALSE,FALSE,FALSE
138,5,E,18,FALSE,FALSE,FALSE,FALSE
139,5,E,42,FALSE,FALSE,TRUE,FALSE
140,5,F,-33,FALSE,FALSE,FALSE,FALSE
141,5,F,-9,TRUE,FALSE,FALSE,FALSE
142,5,F,15,FALSE,FALSE,FALSE,FALSE
143,5,F,39,FALSE,FALSE,TRUE,FALSE
144,5,F#,-37,FALSE,FALSE,FALSE,FALSE
145,5,F#,-13,FALSE,FALSE,FALSE,FALSE
146,5,F#,10,TRUE,TRUE,TRUE,TRUE
147,5,F#,34,FALSE,FALSE,FALSE,FALSE
148,5,G,-43,FALSE,FALSE,FALSE,FALSE
149,5,G,-20,FALSE,FALSE,FALSE,FALSE
150,5,G,3,TRUE,TRUE,TRUE,TRUE
151,5,G,25,FALSE,FALSE,FALSE,FALSE
152,5,G,48,FALSE,FALSE,TRUE,TRUE
153,5,G#,-30,FALSE,FALSE,FALSE,FALSE
154,5,G#,-7,TRUE,TRUE,FALSE,FALSE
155,5,G#,15,FALSE,FALSE,FALSE,FALSE
156,5,G#,37,FALSE,FALSE,FALSE,FALSE
157,5,A,-41,FALSE,FALSE,FALSE,FALSE
158,5,A,-20,FALSE,FALSE,FALSE,FALSE
159,5,A,2,TRUE,FALSE,TRUE,FALSE
160,5,A,23,FALSE,FALSE,FALSE,FALSE
161,5,A,45,FALSE,FALSE,TRUE,FALSE
162,5,A#,-34,FALSE,FALSE,FALSE,FALSE
163,5,A#,-13,FALSE,FALSE,FALSE,FALSE
164,5,A#,8,TRUE,TRUE,TRUE,TRUE
165,5,A#,29,FALSE,FALSE,FALSE,FALSE
166,5,A#,49,FALSE,FALSE,TRUE,TRUE
167,5,B,-30,FALSE,FALSE,FALSE,FALSE
168,5,B,-10,TRUE,TRUE,FALSE,FALSE
169,5,B,11,TRUE,FALSE,FALSE,FALSE
170,5,B,31,FALSE,FALSE,FALSE,FALSE
171,6,C,-49,FALSE,FALSE,FALSE,FALSE
172,6,C,-29,FALSE,FALSE,FALSE,FALSE
173,6,C,-9,TRUE,FALSE,FALSE,FALSE
174,6,C,11,TRUE,TRUE,FALSE,FALSE
175,6,C,30,FALSE,FALSE,FALSE,FALSE
176,6,C,50,FALSE,FALSE,TRUE,TRUE
177,6,C#,-31,FALSE,FALSE,FALSE,FALSE
178,6,C#,-11,TRUE,TRUE,FALSE,FALSE
179,6,C#,8,TRUE,FALSE,TRUE,FALSE
180,6,C#,27,FALSE,FALSE,FALSE,FALSE
181,6,C#,46,FALSE,FALSE,TRUE,FALSE
182,6,D,-35,FALSE,FALSE,FALSE,FALSE
183,6,D,-16,FALSE,FALSE,FALSE,FALSE
184,6,D,3,TRUE,TRUE,TRUE,TRUE
185,6,D,21,FALSE,FALSE,FALSE,FALSE
186,6,D,40,FALSE,FALSE,TRUE,TRUE
187,6,D#,-42,FALSE,FALSE,FALSE,FALSE
188,6,D#,-24,FALSE,FALSE,FALSE,FALSE
189,6,D#,-5,TRUE,FALSE,FALSE,FALSE
190,6,D#,13,FALSE,FALSE,FALSE,FALSE
191,6,D#,31,FALSE,FALSE,FALSE,FALSE
192,6,D#,49,FALSE,FALSE,TRUE,TRUE
193,6,E,-33,FALSE,FALSE,FALSE,FALSE
194,6,E,-16,FALSE,FALSE,FALSE,FALSE
195,6,E,2,TRUE,FALSE,TRUE,FALSE
196,6,E,20,FALSE,FALSE,FALSE,FALSE
197,6,E,37,FALSE,FALSE,FALSE,FALSE
198,6,F,-46,FALSE,FALSE,FALSE,FALSE
199,6,F,-28,FALSE,FALSE,FALSE,FALSE
200,6,F,-11,TRUE,TRUE,FALSE,FALSE
201,6,F,5,TRUE,FALSE,TRUE,FALSE
202,6,F,23,FALSE,FALSE,FALSE,FALSE
203,6,F,40,FALSE,FALSE,TRUE,FALSE
204,6,F#,-43,FALSE,FALSE,FALSE,FALSE
205,6,F#,-26,FALSE,FALSE,FALSE,FALSE
206,6,F#,-9,TRUE,TRUE,FALSE,FALSE
207,6,F#,7,TRUE,FALSE,TRUE,FALSE
208,6,F#,24,FALSE,FALSE,FALSE,FALSE
209,6,F#,40,FALSE,FALSE,TRUE,FALSE
210,6,G,-43,FALSE,FALSE,FALSE,FALSE
211,6,G,-27,FALSE,FALSE,FALSE,FALSE
212,6,G,-11,TRUE,TRUE,FALSE,FALSE
213,6,G,6,TRUE,FALSE,TRUE,FALSE
214,6,G,22,FALSE,FALSE,FALSE,FALSE
215,6,G,38,FALSE,FALSE,FALSE,FALSE
216,6,G#,-46,FALSE,FALSE,FALSE,FALSE
217,6,G#,-30,FALSE,FALSE,FALSE,FALSE
218,6,G#,-15,FALSE,FALSE,FALSE,FALSE
219,6,G#,1,TRUE,FALSE,TRUE,FALSE
220,6,G#,17,FALSE,FALSE,FALSE,FALSE
221,6,G#,32,FALSE,FALSE,FALSE,FALSE
222,6,G#,48,FALSE,FALSE,TRUE,TRUE
223,6,A,-37,FALSE,FALSE,FALSE,FALSE
224,6,A,-21,FALSE,FALSE,FALSE,FALSE
225,6,A,-6,TRUE,FALSE,FALSE,FALSE
226,6,A,9,TRUE,TRUE,TRUE,TRUE
227,6,A,27,FALSE,FALSE,FALSE,FALSE
228,6,A,40,FALSE,FALSE,TRUE,TRUE
229,6,A#,-45,FALSE,FALSE,FALSE,FALSE
230,6,A#,30,FALSE,FALSE,FALSE,FALSE
231,6,A#,-15,FALSE,FALSE,FALSE,FALSE
232,6,A#,0,TRUE,TRUE,FALSE,FALSE
233,6,A#,14,FALSE,FALSE,FALSE,FALSE
234,6,A#,29,FALSE,FALSE,FALSE,FALSE
235,6,A#,44,FALSE,FALSE,TRUE,FALSE
236,6,B,-41,FALSE,FALSE,FALSE,FALSE
237,6,B,-27,FALSE,FALSE,FALSE,FALSE
238,6,B,-12,FALSE,FALSE,FALSE,FALSE
239,6,B,2,TRUE,FALSE,TRUE,FALSE
240,6,B,16,FALSE,FALSE,FALSE,FALSE
241,6,B,31,FALSE,FALSE,FALSE,FALSE
242,6,B,45,FALSE,FALSE,TRUE,TRUE
243,7,C,-41,FALSE,FALSE,FALSE,FALSE
244,7,C,-27,FALSE,FALSE,FALSE,FALSE
245,7,C,-13,FALSE,FALSE,FALSE,FALSE
246,7,C,2,TRUE,TRUE,TRUE,TRUE
247,7,C,16,FALSE,FALSE,FALSE,FALSE
248,7,C,29,FALSE,FALSE,FALSE,FALSE
249,7,C,43,FALSE,FALSE,TRUE,FALSE
250,7,C#,-43,FALSE,FALSE,FALSE,FALSE
251,7,C#,-29,FALSE,FALSE,FALSE,FALSE
252,7,C#,-15,FALSE,FALSE,FALSE,FALSE
252,7,C#,-15,FALSE,FALSE,FALSE,FALSE
253,7,C#,-2,TRUE,FALSE,FALSE,FALSE
254,,,50,FALSE,FALSE,TRUE,TRUE
255,7,C#,25,FALSE,FALSE,FALSE,FALSE